building_id,id,geom
836983,building_836983,POINT(-0.255687502568424 44.302082199018365)
846540,building_846540,POINT(-0.261844745038339 44.30383360868253)
2144932,building_2144932,POINT(-0.242914694586212 44.321776200208745)
2543204,building_2543204,POINT(-0.249799294586255 44.292791100205115)
4087484,building_4087484,POINT(-0.247984903550526 44.291240516338895)
7086038,building_7086038,POINT(-0.260270336050197 44.292249671438)
7228512,building_7228512,POINT(-0.260436544582498 44.29300280020569)
7316871,building_7316871,POINT(-0.256404686078526 44.29315892066361)
7507704,building_7507704,POINT(-0.262423763586842 44.28774764959823)
7597622,building_7597622,POINT(-0.26128055636145 44.291487845590304)
8066294,building_8066294,POINT(-0.263885994587258 44.22269300019614)
22410142,building_22410142,POINT(-0.230833594595191 44.26595560020044)
22410282,building_22410282,POINT(-0.229705767321273 44.284661963839305)
22410336,building_22410336,POINT(-0.232663703754984 44.2661796725778)
22410363,building_22410363,POINT(-0.240402509945221 44.27149810903196)
22410367,building_22410367,POINT(-0.264379994581466 44.28884300020531)
22410370,building_22410370,POINT(-0.264506994581464 44.288337000205246)
23751730,building_23751730,POINT(-0.253558669589493 44.239091025197894)
45452818,building_45452818,POINT(-0.256671394583603 44.29557470020582)
45452823,building_45452823,POINT(-0.329765394561205 44.256627000204176)
49934666,building_49934666,POINT(-0.257777603159498 44.29798963814075)
49934891,building_49934891,POINT(-0.260986597580422 44.29307098661362)
49934896,building_49934896,POINT(-0.261835784763765 44.28519516441301)
49934897,building_49934897,POINT(-0.268076994587039 44.207966900194286)
51485402,building_51485402,POINT(-0.269456419579068 44.296058575206565)
51485505,building_51485505,POINT(-0.261674370309845 44.29238123413013)
51485510,building_51485510,POINT(-0.262508098864676 44.28810938534717)
56262737,building_56262737,POINT(-0.258923989768494 44.291871076892406)
78901523,building_78901523,POINT(-0.256896693321827 44.29364213662505)
546214,building_546214,POINT(-0.282414831331185 44.31039720776167)
902099,building_902099,POINT(-0.261455073249841 44.2984124699143)
981558,building_981558,POINT(-0.296313767993551 44.287908362731336)
1008173,building_1008173,POINT(-0.29010226875015 44.28393163085896)
1153739,building_1153739,POINT(-0.266595748416195 44.291969410682974)
3251028,building_3251028,POINT(-0.255855516536131 44.29103441282578)
4010582,building_4010582,POINT(-0.26104799458987 44.20368700019333)
4245346,building_4245346,POINT(-0.300132001949618 44.27562493259031)
6974671,building_6974671,POINT(-0.259964490443547 44.29501439445794)
7051791,building_7051791,POINT(-0.258778013911264 44.2964621292527)
7197581,building_7197581,POINT(-0.261903061105586 44.291997077110544)
7201089,building_7201089,POINT(-0.261826025828291 44.29214479509073)
7206360,building_7206360,POINT(-0.262305586720455 44.292717267786905)
7244406,building_7244406,POINT(-0.261367948051915 44.293277670112865)
7364525,building_7364525,POINT(-0.255954694583893 44.295119700205746)
7372072,building_7372072,POINT(-0.260629191128332 44.291779466074914)
7426034,building_7426034,POINT(-0.261200330766384 44.29169878136871)
7498104,building_7498104,POINT(-0.262559919702972 44.288725433624904)
7653331,building_7653331,POINT(-0.259302780972325 44.2899538306974)
