id,geom
building_31110,POINT(5.934801613458148 44.58579607999414)
building_31224,POINT(6.67872266459739 44.94530163601251)
building_31237,POINT(6.362525793386903 45.04233330427281)
building_31451,POINT(6.920856113122116 44.82619119403234)
building_31479,POINT(6.540058743803403 44.711184412811164)
building_277158,POINT(6.549477303299661 44.91891882501337)
building_522170,POINT(6.688512603241261 44.588827299972465)
building_527209,POINT(5.713473803514082 44.44119019998386)
building_527700,POINT(5.939325803464192 44.710086400008315)
building_531293,POINT(6.165331858807236 44.48758334816856)
building_544081,POINT(6.557672003276925 44.55900299997273)
building_544711,POINT(6.852531425423789 44.71419827775985)
building_544969,POINT(6.598618460874028 44.90477852947471)
building_551442,POINT(5.562370003554275 44.37407939998044)
building_636799,POINT(6.122184003408886 44.67367599999862)
building_641662,POINT(5.563835603553909 44.37518409998051)
building_643346,POINT(6.529943731856115 44.556028199973156)
building_649995,POINT(6.324127889055846 44.70247402446492)
building_651397,POINT(6.056810116462199 44.462260884494064)
building_657062,POINT(5.862649003464568 44.34034699996719)
building_657519,POINT(6.630778714714066 44.877455123708586)
building_660311,POINT(6.070088103427493 44.73318540000697)
building_661464,POINT(6.344833637363561 44.560518698414356)
building_663781,POINT(6.631121703273871 44.877332100006456)
building_664203,POINT(6.688677003252865 44.79671099999593)
building_669354,POINT(6.71811947823478 44.62378162497563)
building_746559,POINT(5.76127800348906 44.25666599996002)
building_748034,POINT(6.56462820327254 44.51665339996762)
building_749166,POINT(6.024064503423679 44.440942999974425)
building_750294,POINT(6.055448303415825 44.46202099997601)
building_751224,POINT(6.657985503267755 44.90540110000876)
building_758597,POINT(6.839765785024618 44.73661689998496)
building_759605,POINT(5.831892631708813 44.24792022080311)
building_761331,POINT(6.055777629132223 44.46176210319141)
building_762290,POINT(5.761684003488913 44.256215999959956)
building_764446,POINT(6.055820921733257 44.461726114402374)
building_764844,POINT(6.839635703206468 44.736504099984955)
building_829153,POINT(6.005414732270401 44.59030839792082)
building_834189,POINT(6.00423338678225 44.771653766679975)
building_838161,POINT(6.403065203320203 44.5412445999751)
building_840954,POINT(5.62841600353137 44.31539079997128)
building_841968,POINT(6.268167003354805 44.46871499997053)
building_847864,POINT(6.2354217033637 44.45948959997044)
building_850069,POINT(5.627743103531582 44.31566359997131)
building_916165,POINT(6.529292981077986 44.82637498889268)
building_918787,POINT(6.055713350995344 44.46174790533986)
building_924903,POINT(6.004539620143727 44.52146627777396)
building_931704,POINT(6.055382803415811 44.461438699975936)
building_934019,POINT(6.134883545404432 44.633829008507306)
building_937796,POINT(6.006762785337681 44.52258280116347)
building_996807,POINT(6.069367003424468 44.67807250000071)
building_1000432,POINT(6.07015330342427 44.67858670000074)
building_1003435,POINT(6.632634765400868 44.88278185790059)
building_1012372,POINT(6.045020731491824 44.50254535580333)
building_1013852,POINT(6.070465503424111 44.67745260000062)
building_1016451,POINT(5.718825095868728 44.42512701227999)
building_1018978,POINT(6.055772203415649 44.46058309997583)
building_1019002,POINT(6.044870203421247 44.50217669998106)
building_1021913,POINT(6.044769003421263 44.50193209998099)
building_1050729,POINT(6.550813398763592 44.87752798507545)
building_1054357,POINT(6.767705574651897 44.671575914265375)
building_1060839,POINT(6.079628269367221 44.47816801274313)
building_1061452,POINT(6.003803003446373 44.72639750000818)
building_1061689,POINT(6.006644303447418 44.758182400011705)
building_1062068,POINT(6.167062885130718 44.467857348029774)
building_1066296,POINT(6.072240803423474 44.67539590000031)
building_1068300,POINT(6.045962903420866 44.50107409998088)
building_1073014,POINT(6.044411803421309 44.50100959998093)
building_1073196,POINT(6.168125528383652 44.46889137497348)
building_1074880,POINT(6.044366903421296 44.50051579998086)
