id,geom
building_527550,POINT(8.909725962735923 42.02440597081654)
building_531411,POINT(8.847635002520756 41.97947099956874)
building_533465,POINT(8.81378284002783 41.944672178730556)
building_638919,POINT(8.876836002505922 41.826111999544125)
building_646068,POINT(8.899407493744624 41.67530644940163)
building_646083,POINT(8.81095717575936 41.76473656291575)
building_647865,POINT(8.899169234694824 41.67527718939966)
building_654658,POINT(9.400103999661749 41.85162862511682)
building_734463,POINT(8.903086759227294 41.67575836233984)
building_736078,POINT(8.90326671209486 41.675780496486425)
building_742375,POINT(8.903623589623967 41.67582532442086)
building_744022,POINT(8.903591028140736 41.675945780610405)
building_745501,POINT(8.95252996914625 41.68071045785302)
building_747189,POINT(8.90389151297475 41.67598503024119)
building_748623,POINT(8.952795902479526 41.680866724519696)
building_748747,POINT(8.903927307722695 41.67586202246458)
building_750295,POINT(8.903859702491808 41.67566749951966)
building_751888,POINT(8.90384140249181 41.67556879951965)
building_753471,POINT(8.903917602491777 41.67531509951959)
building_755032,POINT(8.903844602491798 41.67529379951961)
building_756625,POINT(8.903643202491846 41.6752439995196)
building_758196,POINT(8.66019186091559 42.24864854128021)
building_764249,POINT(8.949803836876328 42.12525878396451)
building_764489,POINT(8.802706502536422 42.06458147101131)
building_826629,POINT(9.317251772386758 41.68202514951401)
building_829868,POINT(8.941860002499896 42.051622999578335)
building_834120,POINT(8.99024807747003 41.68275287451938)
building_838130,POINT(8.903466421721161 41.6745409092398)
building_839515,POINT(8.902988345582132 41.674476787811216)
building_840881,POINT(8.790796902533078 41.93051709956207)
building_849214,POINT(8.633491002593905 42.34565899962869)
building_850656,POINT(8.903340921485798 41.67529253190985)
building_852061,POINT(8.90323258382963 41.675272825552014)
building_852082,POINT(8.913925827495582 41.809060299540796)
building_852433,POINT(9.094024044110837 41.69615976618649)
building_853505,POINT(8.785902102534482 41.93342629956263)
building_914849,POINT(9.171752002426944 41.75158299952742)
building_916143,POINT(8.904575270203088 41.675979672172005)
building_920077,POINT(8.904365702491686 41.67590269951973)
building_921184,POINT(9.004247002476339 41.8920619995524)
building_922689,POINT(8.904166952304005 41.67570472210863)
building_923962,POINT(8.904459768745214 41.67567672711376)
building_924002,POINT(8.945989002494604 41.962070999564354)
building_924170,POINT(8.94776300249416 41.962386999564366)
building_925115,POINT(8.699356002565576 42.11395999959221)
building_925274,POINT(8.751811452552632 42.127731579593366)
building_927823,POINT(8.904167532398926 41.67559286546075)
building_929096,POINT(8.904168088915727 41.67548620036899)
building_931477,POINT(8.825970802528568 42.02587084957633)
building_934140,POINT(8.638462002591844 42.32990999962626)
building_937028,POINT(8.751115693461905 42.12782583595707)
building_937102,POINT(8.701609227564896 42.11209884959191)
building_938305,POINT(9.00363300247644 41.89095099955224)
building_996050,POINT(8.9065051152337 41.67630393983686)
building_996121,POINT(8.82746911734018 41.96698487364123)
building_996998,POINT(8.949431983717076 41.836459836603915)
building_997278,POINT(8.792308052540047 42.08402174403036)
building_1000846,POINT(8.906372016371852 41.6762889335804)
building_1005653,POINT(8.906054736929905 41.676246979792346)
building_1008234,POINT(8.791706857085632 42.08355913594952)
building_1009373,POINT(8.905837860103327 41.67620813049843)
building_1013055,POINT(8.905559473567951 41.67617513642643)
building_1015502,POINT(8.791509052540231 42.083518274585884)
building_1017766,POINT(8.905586284608557 41.67637306353002)
building_1017968,POINT(8.98414900248084 41.87817799955053)
building_1020196,POINT(8.905863854067015 41.676469144823386)
building_1021374,POINT(8.905749889495144 41.676557480891546)
building_1081604,POINT(8.767884002543743 42.02917499957788)
building_1081779,POINT(9.171381075637495 41.748263431326414)
building_1081811,POINT(8.906224004136856 41.673923322332485)
building_1082982,POINT(8.905873502491225 41.6741418995194)
building_1085699,POINT(8.766589827543317 42.013456349575485)
building_1086557,POINT(8.7680931096401 42.028512613410875)
building_1092451,POINT(9.223814776429808 41.47190932512117)
building_1095603,POINT(9.171430917170424 41.74850236118285)
building_1096598,POINT(8.910048956792583 41.81272448431236)
building_1098090,POINT(8.76806268866257 42.02916290287847)
building_1100188,POINT(9.171630802426838 41.74860449952698)
building_1101648,POINT(8.919442279299705 41.62672156442443)
building_1103341,POINT(9.015760541701175 41.648882467616225)
building_1103783,POINT(8.76868895309213 42.02916656921187)
building_1104887,POINT(9.004793002476118 41.89036299955211)
building_1106131,POINT(8.919440164037406 41.62653256402028)
building_1158168,POINT(8.768497934558926 42.02777502440009)
building_1158855,POINT(9.170802502347412 41.749326623990676)
building_1161091,POINT(8.66571212005316 41.977225681210356)
building_1161891,POINT(8.666085002567607 41.97763899957165)
building_1168722,POINT(9.008333356091706 41.64598756131647)
building_1170796,POINT(8.911687002496228 41.810477999541064)
building_1171503,POINT(8.79758896278133 42.14157082370828)
building_1174986,POINT(8.846607535853249 41.95625892178737)
building_1177234,POINT(8.911842044597554 41.810824604024816)
building_1180225,POINT(9.004490002476263 41.89190199955235)
building_1239964,POINT(9.309869002388044 41.6693669995121)
building_1240771,POINT(9.123473095060374 41.94270928100313)
building_1247141,POINT(8.91371999249571 41.81065898954106)
building_1247699,POINT(8.796525002541738 42.14211999959481)
building_1247819,POINT(8.7097910650719 42.301614512120686)
building_1247898,POINT(8.765827996512348 42.02843012307054)
building_1249017,POINT(8.91399941788025 41.810547830310256)
building_1249687,POINT(8.765851947250093 42.02833097336831)
building_1252626,POINT(8.820851402531003 42.049249499580064)
building_1255319,POINT(8.787443002533989 41.9314099995623)
building_1260114,POINT(9.171207564695019 41.74949566776524)
building_1261027,POINT(8.788266002533723 41.93035799956209)
building_1261043,POINT(9.171216460615481 41.74943118027609)
building_1261969,POINT(9.171233632949674 41.749365306484506)
building_1262866,POINT(8.766332002540251 41.94825099956526)
building_1262917,POINT(9.171327289558265 41.74922026438443)
building_1263686,POINT(8.911888002487421 41.626812999511635)
building_1321068,POINT(9.172169547200497 41.74937618221278)
building_1327461,POINT(8.800838183493282 41.889002018865284)
building_1328924,POINT(8.790067302533295 41.93106589956217)
building_1329809,POINT(8.790224802533276 41.93142479956227)
building_1330667,POINT(8.790399402533264 41.932190499562324)
building_1331565,POINT(8.790354602533311 41.93285239956244)
building_1332435,POINT(8.790265238394843 41.933140850681774)
building_1335320,POINT(9.00649135961865 41.89272522812387)
building_1336895,POINT(8.744790902560677 42.2573849996133)
building_1339390,POINT(8.744718002560685 42.257228999613304)
building_1341080,POINT(8.667788002573463 42.1076109995918)
building_1341157,POINT(8.786978802534142 41.93210369956241)
building_1341172,POINT(8.802653134784586 41.85762511245361)
building_1343948,POINT(8.766722525051103 42.02805316613702)
building_1344712,POINT(8.906846478425347 41.6762621429735)
building_1344913,POINT(9.391500002375977 41.858391999540736)
