id,geom
building_522325,POINT(9.46669297612109 42.78640572741505)
building_525148,POINT(9.406704002395333 42.37226699961888)
building_525405,POINT(9.532039002368004 42.47807299963233)
building_527750,POINT(9.440414002393124 42.51551699963941)
building_528059,POINT(9.21886100244813 42.472754999637026)
building_532882,POINT(9.533237002367489 42.47336899963163)
building_538179,POINT(8.874641844124119 42.61152542997254)
building_539520,POINT(8.67921900258778 42.466311999645875)
building_540665,POINT(9.454680802409134 42.95649779970185)
building_548688,POINT(8.861976118840532 42.608620518786566)
building_550812,POINT(9.302495002418718 42.2991479996098)
building_552656,POINT(8.926919102531107 42.63247269966561)
building_555748,POINT(9.550460002352935 42.24473599959745)
building_638750,POINT(8.862500245700318 42.60835399521151)
building_640159,POINT(8.833568332738784 42.578303623385565)
building_640594,POINT(9.452225802409744 42.95595949970181)
building_642881,POINT(8.933636180395409 42.63315104580425)
building_646329,POINT(9.289823045826413 42.357401855863884)
building_648234,POINT(9.365254224030927 42.44659331044139)
building_658317,POINT(9.408520541102742 42.33212710283869)
building_665136,POINT(8.833275708929918 42.578512608799606)
building_665591,POINT(8.86319629616258 42.6088374001967)
building_666873,POINT(8.886792902538767 42.57329589965776)
building_667301,POINT(8.863040713558746 42.60820137235958)
building_737631,POINT(9.014751002508588 42.63917799966495)
building_739261,POINT(9.376862226110003 42.37647783681793)
building_739426,POINT(9.128122625168455 42.417925329170195)
building_740524,POINT(8.902597002535867 42.599080799661216)
building_744251,POINT(8.953261823574918 42.59052459965904)
building_744262,POINT(9.46770530238198 42.422617999625295)
building_745584,POINT(8.861262552498827 42.60820211053194)
building_747223,POINT(8.902649402535852 42.59916649966121)
building_747413,POINT(9.46762185027332 42.42255118616658)
building_748452,POINT(9.470600281539367 42.5279417730651)
building_750048,POINT(8.902617402535872 42.599299799661274)
building_750528,POINT(9.290677302424381 42.357052599618626)
building_751927,POINT(8.902472302535914 42.59933289966128)
building_752118,POINT(9.127532002469147 42.417937999630524)
building_755489,POINT(9.206662002451163 42.47054299963691)
building_760016,POINT(9.12724413431189 42.41810173553566)
building_762651,POINT(8.902351802535952 42.599518099661275)
building_764187,POINT(8.90238050253595 42.5995596996613)
building_764449,POINT(9.209858902450279 42.46910119963661)
building_826642,POINT(9.164223617608524 42.359766678409116)
building_826929,POINT(9.53194439231796 42.37484797163846)
building_827024,POINT(9.321275471178495 42.62119063090683)
building_828257,POINT(8.900341702533188 42.52965779965108)
building_831079,POINT(8.900538102533133 42.529635799651096)
building_831348,POINT(9.354057002435244 42.95885799970401)
building_832164,POINT(8.835564002552314 42.57766699965935)
building_832430,POINT(9.269015277420868 42.15837897458911)
building_835001,POINT(8.999311602509538 42.57349319965568)
building_835041,POINT(9.531013582430697 42.37481814022809)
building_835198,POINT(8.905294907534635 42.587851324659525)
building_842043,POINT(9.450196002380938 42.29937099960732)
building_843984,POINT(9.354770460734798 42.21381737459603)
building_843993,POINT(9.42310800238863 42.31648799961031)
building_846457,POINT(9.407652488533326 42.318969314711545)
building_846551,POINT(9.290779702418915 42.237669699600744)
building_853235,POINT(9.407883798664978 42.31905878294728)
building_854912,POINT(8.993749002513173 42.62054499966265)
building_913765,POINT(9.271380602426527 42.29545039960976)
building_914571,POINT(9.37581792345603 42.37559523119888)
building_914736,POINT(9.067260002495642 42.653805999666105)
building_914759,POINT(9.522855002368344 42.43284699962588)
building_914804,POINT(8.90099530253304 42.530178299651176)
building_917382,POINT(9.363742034997113 42.080585958395716)
building_917737,POINT(9.002236002508823 42.57452599965583)
building_919932,POINT(9.533300154218383 42.45204675148038)
building_920642,POINT(9.423255002388558 42.3157269996102)
building_921141,POINT(9.452343002380358 42.298513999607124)
building_925140,POINT(9.260238236807421 42.3620445933699)
building_925152,POINT(9.289241772057402 42.035168319406)
building_925509,POINT(9.001612802508953 42.573794699655686)
building_926478,POINT(9.260387678902969 42.36195985844341)
building_926702,POINT(9.419595118475312 42.62743187793291)
building_927548,POINT(8.835478002552323 42.57747799965931)
building_930349,POINT(9.523099002368232 42.43175999962572)
building_930512,POINT(9.419763255505085 42.627350501764084)
building_931526,POINT(9.495788202371385 42.345937499613456)
building_931563,POINT(9.349738402412346 42.425834599627805)
building_931653,POINT(9.414070752387115 42.231562456740605)
building_932762,POINT(9.401491033407128 42.34966458638471)
building_934074,POINT(9.423306002388548 42.31586799961024)
building_935637,POINT(9.289837802419076 42.23590569960049)
building_935687,POINT(9.419315102403548 42.62737399965599)
building_936965,POINT(9.419163327403592 42.627400937156)
building_939659,POINT(9.00234000250879 42.574320999655775)
building_995885,POINT(9.416939002391688 42.349469999615344)
building_995962,POINT(9.455590255397361 42.48508113347948)
building_997312,POINT(8.89536243031374 42.561233994100284)
building_1002210,POINT(9.405499002398996 42.44675899962993)
building_1004172,POINT(8.834681239166425 42.57773481237505)
building_1004360,POINT(9.299325259177271 42.320807615829295)
building_1004720,POINT(9.025871593400625 42.33491560871086)
building_1005475,POINT(9.37804663526652 42.68969062954105)
building_1007031,POINT(8.895274827536005 42.56149532465586)
building_1008477,POINT(9.366337552883815 42.21764966364684)
building_1009108,POINT(8.832919002553009 42.57786499965942)
building_1009218,POINT(9.237567002434842 42.287600999609175)
building_1009284,POINT(9.454194002388203 42.4843429996346)
building_1011630,POINT(9.417614070018052 42.35022375513482)
building_1011718,POINT(9.453622364888357 42.48452027463467)
building_1012034,POINT(8.832921623981592 42.57809414251661)
building_1013118,POINT(8.863443800765115 42.60808366257685)
building_1016486,POINT(8.832451002553146 42.57809999965945)
building_1016740,POINT(9.481150900471606 42.78119141868993)
building_1017917,POINT(8.9319328700357 42.63218524807049)
building_1020103,POINT(8.808194662555193 42.48803773964669)
building_1020128,POINT(9.346692362406094 42.2704921696047)
