building_id,id,geom
500128,building_500128,POINT(-0.772147914319894 45.22503737835273)
500169,building_500169,POINT(-0.400154909150418 44.70782612813482)
500536,building_500536,POINT(-0.245507494567901 44.5266965002365)
500680,building_500680,POINT(-0.281855444533787 44.77699576079726)
500977,building_500977,POINT(-0.344238433404176 44.735017094713335)
501356,building_501356,POINT(-0.317443294532963 44.638978100254995)
501671,building_501671,POINT(-0.259174994547463 44.71048600026125)
501710,building_501710,POINT(-0.640860176179486 45.03555238001151)
501878,building_501878,POINT(-0.126643688702844 44.8776276819878)
501933,building_501933,POINT(-0.098699994588918 44.888970000275464)
502110,building_502110,POINT(-0.412428494788063 44.82059439117499)
502138,building_502138,POINT(-0.786688994346911 44.85567800030804)
502470,building_502470,POINT(-0.727574583273104 44.67109710916993)
503133,building_503133,POINT(-1.015613634282 44.654132860294524)
643457,building_643457,POINT(-0.365468032513912 44.68189289299594)
646920,building_646920,POINT(-0.131506164009819 44.90981074253089)
648993,building_648993,POINT(-0.097175296941229 44.53032666291036)
649191,building_649191,POINT(-0.299538994543381 44.59096200024778)
649610,building_649610,POINT(-0.211348503049963 44.939050148151814)
649621,building_649621,POINT(-0.576597994403619 45.07114600032338)
651377,building_651377,POINT(-0.091776919879613 44.45363665642995)
651513,building_651513,POINT(-0.13601999457605 44.885679000277)
653181,building_653181,POINT(-0.638122394385761 45.022686600320796)
656769,building_656769,POINT(-0.031678344446054 44.68144358185484)
657162,building_657162,POINT(-0.349479599164744 44.68941036962573)
657608,building_657608,POINT(-0.412880759105672 44.951661497324515)
657609,building_657609,POINT(0.256261531948458 44.82828422024973)
658181,building_658181,POINT(-0.073475520094201 44.83470321730291)
658499,building_658499,POINT(-0.317046309249659 44.63732483539228)
659420,building_659420,POINT(-0.182076537687845 44.424504916638085)
660597,building_660597,POINT(-0.796613373259456 45.085987552260825)
661736,building_661736,POINT(-0.436481994457209 45.03036100031081)
662050,building_662050,POINT(-0.228399430758116 44.56439671214083)
662950,building_662950,POINT(-0.406094394468994 45.01920290030784)
664099,building_664099,POINT(-0.615994861054732 45.08765720032755)
666407,building_666407,POINT(-0.400987994482722 44.88028400029031)
668780,building_668780,POINT(-0.272672994548323 44.64434780025337)
670928,building_670928,POINT(-0.797116494322946 45.08701880033747)
672850,building_672850,POINT(-0.132379613327514 44.88354648152651)
672991,building_672991,POINT(-0.701769294357475 45.08504660033195)
673861,building_673861,POINT(-0.638914794385518 45.022206100320815)
674981,building_674981,POINT(-0.180731037093213 44.425825179784844)
675872,building_675872,POINT(-0.37704458509992 44.46466143399902)
677203,building_677203,POINT(-0.031790994610573 44.911241000274764)
677473,building_677473,POINT(-0.620242744196226 45.1134917034998)
678897,building_678897,POINT(-0.429802264604792 44.69704963004236)
679231,building_679231,POINT(-0.379138227187931 44.46316615334151)
681165,building_681165,POINT(-0.357543484677892 44.65449665641308)
681589,building_681589,POINT(-0.327900388092596 44.948405790038485)
681633,building_681633,POINT(-0.431220556978662 44.80229893153206)
682579,building_682579,POINT(-0.086456794635239 44.39071330021017)
684270,building_684270,POINT(-0.42972889448821 44.69714470026849)
684420,building_684420,POINT(-0.807072773593777 45.238688525670966)
685997,building_685997,POINT(-0.406991172733967 44.96764669160585)
687969,building_687969,POINT(-0.138426994575343 44.88400900027692)
689120,building_689120,POINT(-0.781537294317635 45.212080100351734)
690296,building_690296,POINT(-0.412549694472574 44.95069110029972)
692822,building_692822,POINT(-0.84613379427987 45.37619260037469)
693540,building_693540,POINT(-0.501107994433702 45.03552300031495)
694894,building_694894,POINT(-0.619103611555724 45.08520962786347)
696274,building_696274,POINT(-0.363164894500182 44.83324790028238)
696277,building_696277,POINT(-0.846191943631273 45.37601281355097)
699632,building_699632,POINT(-0.315357594533761 44.63826370025484)
699662,building_699662,POINT(-0.372586681088148 44.45994761045454)
