"id","polygon"
building_2,POINT(2.3295 48.86505)
building_3,POINT(2.32962 48.86521)
building_4,POINT(2.32965 48.86499)
building_5,POINT(2.32955 48.86486)
building_7,POINT(2.32976 48.86515)
building_8,POINT(2.32995 48.86541)
building_9,POINT(2.3402 48.85924)
building_10,POINT(2.33469 48.86377)
building_11,POINT(2.3348 48.86386)
building_12,POINT(2.33491 48.86395)
building_13,POINT(2.33549 48.86403)
building_14,POINT(2.34177 48.86029)
building_16,POINT(2.34216 48.86022)
building_18,POINT(2.3424 48.86123)
building_19,POINT(2.34239 48.86129)
building_23,POINT(2.34259 48.86092)
building_24,POINT(2.3426 48.86103)
building_25,POINT(2.34261 48.86117)
building_26,POINT(2.34261 48.86121)
building_27,POINT(2.34262 48.86126)
building_28,POINT(2.34263 48.8613)
building_29,POINT(2.33381 48.86454)
building_30,POINT(2.33382 48.8647)
building_32,POINT(2.33335 48.86598)
building_33,POINT(2.3333 48.86607)
building_34,POINT(2.33319 48.86629)
building_35,POINT(2.33298 48.86635)
building_37,POINT(2.33401 48.86496)
building_38,POINT(2.33439 48.86527)
building_39,POINT(2.33422 48.86567)
building_41,POINT(2.34232 48.86084)
building_43,POINT(2.34231 48.86096)
building_44,POINT(2.34214 48.86097)
building_45,POINT(2.33806 48.86619)
building_46,POINT(2.33851 48.86609)
building_47,POINT(2.3376 48.866)
building_48,POINT(2.33926 48.86614)
building_49,POINT(2.33874 48.86626)
building_50,POINT(2.33848 48.86632)
building_51,POINT(2.33809 48.86641)
building_52,POINT(2.33778 48.86648)
building_53,POINT(2.34906 48.86045)
building_54,POINT(2.349 48.86059)
building_55,POINT(2.34894 48.8606)
building_56,POINT(2.3489 48.86061)
building_57,POINT(2.34883 48.86063)
building_59,POINT(2.34382 48.8618)
building_60,POINT(2.34288 48.86201)
building_61,POINT(2.34211 48.86219)
building_62,POINT(2.34188 48.86267)
building_63,POINT(2.34835 48.86093)
building_65,POINT(2.34809 48.861)
building_67,POINT(2.34491 48.85947)
building_68,POINT(2.34463 48.85803)
building_69,POINT(2.34473 48.85837)
building_70,POINT(2.34493 48.8588)
building_73,POINT(2.33869 48.86319)
building_74,POINT(2.34296 48.8586)
building_76,POINT(2.3409 48.86371)
building_77,POINT(2.341 48.86375)
building_78,POINT(2.34122 48.86386)
building_80,POINT(2.3402 48.86305)
building_81,POINT(2.34026 48.86326)
building_82,POINT(2.34157 48.86359)
building_83,POINT(2.34164 48.86396)
building_84,POINT(2.34545 48.86048)
building_86,POINT(2.34501 48.85996)
building_87,POINT(2.34513 48.86007)
building_89,POINT(2.34562 48.86062)
building_90,POINT(2.34401 48.85896)
building_91,POINT(2.34524 48.86001)
building_92,POINT(2.34536 48.8602)
building_93,POINT(2.34555 48.86038)
building_94,POINT(2.32524 48.86639)
building_95,POINT(2.32537 48.86656)
building_96,POINT(2.32635 48.86773)
building_97,POINT(2.32643 48.86782)
building_98,POINT(2.32662 48.86805)
building_99,POINT(2.3268 48.86826)
building_100,POINT(2.32711 48.86864)
building_102,POINT(2.32577 48.8668)
building_103,POINT(2.32591 48.86697)
building_104,POINT(2.32602 48.8671)
building_106,POINT(2.32529 48.86606)
building_107,POINT(2.32651 48.86742)
building_110,POINT(2.32647 48.86764)
building_111,POINT(2.32677 48.86801)
building_113,POINT(2.32927 48.86821)
building_117,POINT(2.32971 48.86811)
building_118,POINT(2.32748 48.86571)
building_119,POINT(2.32774 48.86557)
building_120,POINT(2.32807 48.86516)
building_121,POINT(2.32795 48.86578)
building_122,POINT(2.32843 48.86625)
building_125,POINT(2.34648 48.85753)
building_126,POINT(2.34131 48.863)
building_127,POINT(2.34081 48.86319)
building_128,POINT(2.34033 48.86352)
building_129,POINT(2.34176 48.86321)
building_130,POINT(2.34126 48.8633)
building_131,POINT(2.34215 48.86433)
building_132,POINT(2.34231 48.86441)
building_133,POINT(2.34123 48.86432)
building_134,POINT(2.3411 48.86438)
building_135,POINT(2.34089 48.86438)
building_137,POINT(2.34072 48.86455)
building_138,POINT(2.34064 48.8646)
building_139,POINT(2.34372 48.8635)
building_140,POINT(2.34343 48.86358)
building_141,POINT(2.34232 48.86412)
building_142,POINT(2.34169 48.86423)
building_143,POINT(2.34133 48.86439)
building_145,POINT(2.34073 48.86467)
building_146,POINT(2.34864 48.86137)
building_147,POINT(2.34844 48.86142)
building_148,POINT(2.34832 48.86145)
building_149,POINT(2.34826 48.86174)
building_150,POINT(2.3487 48.86154)
building_151,POINT(2.3485 48.86159)
building_152,POINT(2.34832 48.86164)
building_153,POINT(2.34763 48.85974)
building_154,POINT(2.34056 48.86525)
building_156,POINT(2.33938 48.86232)
building_157,POINT(2.33944 48.86246)
building_158,POINT(2.34013 48.86393)
building_159,POINT(2.34027 48.86419)
building_160,POINT(2.34031 48.86427)
building_161,POINT(2.34071 48.86422)
building_162,POINT(2.34962 48.8631)
building_164,POINT(2.34914 48.8632)
building_165,POINT(2.34873 48.86318)
building_166,POINT(2.34987 48.86316)
building_167,POINT(2.349 48.86338)
building_168,POINT(2.34853 48.86343)
building_169,POINT(2.33345 48.86746)
building_171,POINT(2.3324 48.86774)
building_172,POINT(2.33184 48.86786)
building_174,POINT(2.33148 48.86795)
building_175,POINT(2.33019 48.8679)
building_176,POINT(2.34215 48.85645)
building_177,POINT(2.34205 48.85654)
building_179,POINT(2.34175 48.85681)
building_180,POINT(2.34273 48.85675)
building_181,POINT(2.34251 48.85679)
building_182,POINT(2.3423 48.85682)
building_183,POINT(2.34555 48.8595)
building_184,POINT(2.34596 48.8597)
building_185,POINT(2.34613 48.85989)
building_186,POINT(2.34613 48.86008)
building_189,POINT(2.34608 48.85909)
building_190,POINT(2.34566 48.85923)
building_191,POINT(2.34143 48.86274)
building_192,POINT(2.32574 48.86764)
building_193,POINT(2.32546 48.86774)
building_194,POINT(2.32556 48.86811)
building_195,POINT(2.3255 48.86831)
building_196,POINT(2.32535 48.86872)
building_197,POINT(2.32585 48.8678)
building_200,POINT(2.32573 48.86814)
building_202,POINT(2.32565 48.86836)
building_203,POINT(2.32556 48.86862)
building_204,POINT(2.32562 48.86841)
building_205,POINT(2.3339 48.8636)
building_206,POINT(2.33399 48.86374)
building_207,POINT(2.33445 48.86436)
building_208,POINT(2.33459 48.86406)
building_210,POINT(2.34534 48.85784)
building_212,POINT(2.3504 48.86342)
building_213,POINT(2.3495 48.86366)
building_216,POINT(2.34738 48.86415)
building_218,POINT(2.34681 48.86429)
building_219,POINT(2.34605 48.86447)
building_221,POINT(2.34285 48.86514)
building_223,POINT(2.34784 48.86017)
building_224,POINT(2.34768 48.86018)
building_225,POINT(2.34756 48.86019)
building_226,POINT(2.34699 48.86021)
building_227,POINT(2.34686 48.86023)
building_228,POINT(2.34673 48.86025)
building_229,POINT(2.34817 48.86034)
building_230,POINT(2.34702 48.86363)
building_231,POINT(2.34742 48.86383)
building_233,POINT(2.33127 48.86762)
building_234,POINT(2.33109 48.86803)
building_235,POINT(2.3327 48.86731)
building_236,POINT(2.33309 48.8676)
building_237,POINT(2.33286 48.86765)
building_239,POINT(2.35005 48.8624)
building_240,POINT(2.34913 48.86274)
building_241,POINT(2.34865 48.86248)
building_242,POINT(2.34952 48.86271)
building_243,POINT(2.3492 48.8628)
building_244,POINT(2.34894 48.86287)
building_246,POINT(2.34865 48.86302)
building_248,POINT(2.34832 48.86302)
building_249,POINT(2.34824 48.86303)
building_251,POINT(2.34682 48.85909)
building_252,POINT(2.34607 48.8603)
building_253,POINT(2.34596 48.86042)
building_254,POINT(2.34568 48.86054)
building_255,POINT(2.34744 48.85914)
building_257,POINT(2.34729 48.85931)
building_258,POINT(2.3472 48.85944)
building_259,POINT(2.34681 48.85987)
building_260,POINT(2.34654 48.86015)
building_262,POINT(2.34119 48.86478)
building_265,POINT(2.34212 48.86542)
building_266,POINT(2.34111 48.86464)
building_267,POINT(2.34147 48.86482)
building_268,POINT(2.34262 48.86471)
building_269,POINT(2.34316 48.8567)
building_270,POINT(2.34262 48.85677)
building_271,POINT(2.34206 48.85687)
building_272,POINT(2.34189 48.85704)
building_273,POINT(2.34777 48.86039)
building_274,POINT(2.34758 48.86041)
building_275,POINT(2.34702 48.86047)
building_276,POINT(2.34678 48.86041)
building_279,POINT(2.34096 48.86279)
building_280,POINT(2.34121 48.86293)
building_283,POINT(2.33988 48.86213)
building_284,POINT(2.34005 48.86221)
building_285,POINT(2.34018 48.86224)
building_286,POINT(2.34026 48.86232)
building_287,POINT(2.34038 48.86238)
building_288,POINT(2.34053 48.86246)
building_289,POINT(2.34074 48.86256)
building_290,POINT(2.34132 48.86284)
building_291,POINT(2.34314 48.86366)
building_292,POINT(2.34332 48.86388)
building_293,POINT(2.34351 48.86396)
building_294,POINT(2.34363 48.86403)
building_295,POINT(2.34373 48.86408)
building_296,POINT(2.34388 48.86415)
building_297,POINT(2.34402 48.86421)
building_298,POINT(2.34421 48.86432)
building_299,POINT(2.34457 48.86449)
building_300,POINT(2.3446 48.86452)
building_301,POINT(2.34477 48.86459)
building_302,POINT(2.34523 48.85882)
building_304,POINT(2.34649 48.85843)
building_305,POINT(2.34579 48.85892)
building_306,POINT(2.34108 48.86095)
building_307,POINT(2.34407 48.86346)
building_308,POINT(2.34417 48.86351)
building_311,POINT(2.3444 48.86363)
building_312,POINT(2.34449 48.86367)
building_313,POINT(2.34467 48.86377)
building_316,POINT(2.34486 48.86378)
building_317,POINT(2.3451 48.8639)
building_318,POINT(2.34522 48.86396)
building_319,POINT(2.34548 48.86392)
