"id","polygon"
commune_33405,"MULTIPOLYGON(((-0.692742410641538 45.145229603231186,-0.70033349308174 45.16728939041873,-0.69567334753985 45.16807487064948,-0.695504939320721 45.17473098519524,-0.694032693143065 45.18179264910062,-0.691898397113292 45.18351646361692,-0.689683918807614 45.1790755072683,-0.686652965617787 45.16969661809298,-0.667327183959837 45.1733037259713,-0.666992763907426 45.172519697037316,-0.659064875530485 45.17323521834666,-0.656070004292605 45.1731161786655,-0.656249776698055 45.1721449085697,-0.646007594709369 45.1710451447764,-0.640864364328358 45.16932295385032,-0.637820232673215 45.16916718308885,-0.635860034715353 45.16824138933124,-0.636167844491975 45.16645295582969,-0.634406730776993 45.16502129354616,-0.634335317698725 45.163689597444574,-0.636050709328821 45.15855178211141,-0.636342243162918 45.152817700749694,-0.635820696671542 45.15189007557995,-0.637252872997737 45.150820321415296,-0.639912770776285 45.152092791657616,-0.642230014581902 45.15230917426735,-0.652140189720168 45.151678584595196,-0.654702689302663 45.15118450551855,-0.654635932648473 45.150787384357514,-0.657568180741533 45.150493843524465,-0.658271591288347 45.14995337912117,-0.662550850164254 45.14984445585979,-0.662703815099114 45.149224691256926,-0.666479813367832 45.149192537318754,-0.668049564626837 45.14857844916593,-0.679559492600883 45.1471076482701,-0.684237693002924 45.159727683702656,-0.688690898492955 45.15306160422635,-0.690805590746234 45.15267614574176,-0.687731058501414 45.145955226225404,-0.692742410641538 45.145229603231186)))"
commune_33171,"MULTIPOLYGON(((0.026176835641047 44.590809456480365,0.026984537698118 44.591869924457065,0.025100861336276 44.59234982994957,0.024807101155225 44.5968427652692,0.031608227844499 44.601681531553325,0.032993994398683 44.6050853840765,0.039810046337789 44.61293839406396,0.044118502716605 44.610795209340104,0.044276317150292 44.612066980463005,0.046128156108546 44.61511645928938,0.047381629996193 44.61589139131341,0.047363304055588 44.61677106953105,0.05495470947975 44.610645842834174,0.055510741732674 44.61096245794189,0.057373276952673 44.61048325963042,0.062878604576581 44.608079354298006,0.061230257282738 44.603943731231396,0.061903107018467 44.60402649064767,0.062343265390165 44.60322650501055,0.066054942786989 44.603748551160585,0.068024242449628 44.6035134532673,0.079788559337495 44.59994860151135,0.079412918601502 44.597268497043814,0.073623440237735 44.59607116835366,0.071479210076262 44.5934648792943,0.06906986172432 44.592543345762664,0.06797077654389 44.584850477683574,0.063810711185536 44.58422375756975,0.055068731754976 44.58431891100727,0.04776125922275 44.582197737159134,0.042223040836345 44.58146577687295,0.041232709495724 44.58465358446291,0.035037595818574 44.587014413971815,0.030333647085537 44.58805287663889,0.028493231842673 44.59084927755653,0.026176835641047 44.590809456480365)))"
commune_33025,"MULTIPOLYGON(((-0.220085424209864 44.724036786598354,-0.215558813824434 44.73006209142316,-0.211499528824008 44.7333957404224,-0.20933449544517 44.732094341939025,-0.208689102534951 44.73438637722777,-0.205355904152641 44.73780686677982,-0.202194289998051 44.73656480728625,-0.202491613718801 44.738834038266596,-0.200752279345442 44.73825990974927,-0.19679181979111 44.73828602214798,-0.189223589327847 44.73659857932514,-0.187736182848089 44.73531328926074,-0.174074177702014 44.73148988381216,-0.175880694473153 44.730486594150406,-0.174201611986222 44.728954350050486,-0.175145377572679 44.72661796056449,-0.174774576179822 44.72499684085605,-0.175462106833663 44.72448155807973,-0.176902736409102 44.7247024219444,-0.177649729431724 44.723718687770344,-0.175979124366461 44.72291606429999,-0.175793321625689 44.72181854258183,-0.174246081626915 44.721453857320896,-0.175482764082511 44.71965238357427,-0.174603132810257 44.718016131184456,-0.176061991925841 44.71654796315437,-0.174326866745813 44.71571744131484,-0.173040072413066 44.71385048417015,-0.172919933357312 44.71160768867346,-0.171348299083348 44.71078235128617,-0.172433443163474 44.7109125334652,-0.173004923926141 44.71042581925934,-0.176230284836442 44.71095500435484,-0.180527332224245 44.710591928173464,-0.184404012898462 44.71099583734314,-0.189466835932166 44.71034457386779,-0.193086736158773 44.7108537921834,-0.194612076897881 44.71274968741547,-0.197357386228285 44.71218475665203,-0.198168418370178 44.714048982229855,-0.205307881812988 44.715001180474346,-0.208711408043689 44.7176245929884,-0.220085424209864 44.724036786598354)))"
commune_33304,"MULTIPOLYGON(((0.026082514280185 44.656889737268926,0.018997944920265 44.65225746937689,0.017728053608155 44.65209439424038,0.016393900098533 44.65009440903139,0.017099175980165 44.64747646753876,0.018745073939797 44.645873996133695,0.018732675205951 44.64517815863756,0.020222731931416 44.644301203809334,0.020703886715295 44.64190784320474,0.022605779576805 44.63992123014891,0.024611780153897 44.63921037179587,0.023400703591193 44.637652533373306,0.02136146953736 44.636748948456635,0.022738935700958 44.63582479126944,0.020805100773521 44.6357213356882,0.019786379244764 44.634800174757615,0.017489650496337 44.6350697610234,0.016438258473343 44.63595851157972,0.015480509227579 44.634602014211964,0.013091179141219 44.63499964098985,0.010809492921387 44.63410461886247,0.007297425261355 44.63428436288196,0.006001616415828 44.63537721369608,0.005479736181052 44.63439459534059,0.004353764983751 44.63457039446296,0.003636289874403 44.634965367651915,0.003644179760918 44.635789917670344,0.000818854218005 44.636600695639075,-0.000160823614646 44.63995254676676,0.001236156356975 44.64540406456503,-0.000226547896932 44.64713558665746,-0.000204143235878 44.650791227871984,-0.001102351022054 44.65144704671854,0.001678201260627 44.65668566348377,0.003778121382491 44.65581553605256,0.006616245577466 44.66136099150222,0.007857240406693 44.66204774421723,0.018112046532775 44.662175179525256,0.020299945069158 44.661096296036256,0.02373784185261 44.66149068214728,0.026082514280185 44.656889737268926)))"
commune_33371,"MULTIPOLYGON(((-0.431286864222096 45.01824523516907,-0.421725651007449 45.030184577406374,-0.420457933884912 45.0302161378801,-0.414499035988145 45.01236314910916,-0.431286864222096 45.01824523516907)))"
commune_33267,"MULTIPOLYGON(((-0.562206578147424 45.27741358843321,-0.553664498110732 45.27809083976654,-0.55065801651784 45.280785099912826,-0.551024888479874 45.28227648324907,-0.548385548343603 45.283172558548614,-0.549368125601373 45.287642737025436,-0.548739574397074 45.293140686574354,-0.545166076196847 45.29256744487095,-0.542954244304288 45.29373395498635,-0.539129217824507 45.292550887698944,-0.5368397714914 45.29247859220424,-0.53615417726656 45.29291899925621,-0.528975919494218 45.29107848077364,-0.526313043497502 45.289504854567966,-0.520907251612256 45.289644776353235,-0.520915246618285 45.29009398994155,-0.517470476998272 45.28896494536507,-0.515429684335809 45.28652318716418,-0.514156681746683 45.28593053855366,-0.512800854488362 45.2861774709603,-0.50890117800847 45.28862278322612,-0.507873595154966 45.288334465466015,-0.505381129567648 45.28931683807538,-0.504481826136716 45.28908426555169,-0.503103361333235 45.290116741238535,-0.500738726010847 45.28974734752399,-0.498232516199682 45.290498772070485,-0.493996240982831 45.29030058402296,-0.489543920940149 45.291871091543705,-0.487695637243073 45.292891193488096,-0.487307475208805 45.29370115728883,-0.483850578332457 45.293490467966514,-0.483918580799464 45.29394628644206,-0.48292324746466 45.29389358281561,-0.482277987596077 45.294473699171654,-0.476950798298191 45.29337336885359,-0.47427579504514 45.294036337489,-0.471520841731803 45.292786542565906,-0.467901080294443 45.28963649734122,-0.465387773792533 45.28982274322008,-0.464961792684804 45.28889245570116,-0.460585290452102 45.28854694353648,-0.459587352002974 45.28789939485735,-0.458305995081706 45.28850864445469,-0.456588775584583 45.287392650943836,-0.455560923236493 45.28767648623783,-0.453467489298381 45.28723363682953,-0.451899569801479 45.286294142514365,-0.445055575146357 45.28583434396455,-0.441021870026075 45.28408486331942,-0.441171888678523 45.28345534046567,-0.439550699085273 45.282810388321735,-0.439569473874711 45.281833654891315,-0.438718589637593 45.28189243761564,-0.438685082477495 45.28233419100058,-0.437197292703937 45.28207978344032,-0.433529022241234 45.28057537394995,-0.438094619841244 45.274922467875896,-0.440037765632322 45.27140887150212,-0.443942023520163 45.267167737960165,-0.452338935806942 45.2611109733103,-0.482110182301003 45.25322269267948,-0.484525392773887 45.25335309161637,-0.487728246087887 45.25446545446938,-0.488633298736637 45.25417639399498,-0.488222229662624 45.25364436963454,-0.49005524199987 45.25446014249844,-0.491460027441176 45.254066549364154,-0.497498053623386 45.255768137103544,-0.501032654771811 45.255773385715855,-0.509955710320498 45.25783263815831,-0.511798693957398 45.25920467284286,-0.513301665259258 45.258728593589446,-0.514963997692521 45.25889748867852,-0.520723725799711 45.25682626018219,-0.523989551015127 45.257637560943294,-0.52805541582258 45.257689665911705,-0.529705082010338 45.2588868655653,-0.532481954216608 45.259058479186805,-0.533947016613478 45.260802598076296,-0.534999931957995 45.26094195834437,-0.535025444112064 45.26039444251014,-0.537840135391796 45.26051527709736,-0.539395927632362 45.26144628284401,-0.545973212479628 45.256676645697205,-0.550656938539499 45.25457757488306,-0.551076182282598 45.262995965087356,-0.553332031624079 45.26333265450159,-0.55346435346543 45.26397567831331,-0.555809315683095 45.26326145987361,-0.554821797691263 45.26416795176717,-0.556503264240078 45.26764633859565,-0.56091255498065 45.27091367588449,-0.560035260274179 45.27312447943411,-0.562206578147424 45.27741358843321)))"
commune_33188,"MULTIPOLYGON(((-0.226004233163607 44.26478055905634,-0.227053305529571 44.28061682883216,-0.201725001936671 44.28165793737798,-0.200340848979107 44.282418061106696,-0.200635330909957 44.284768850995796,-0.193979818976446 44.285701254605144,-0.193083243924406 44.28476789659064,-0.190752989114895 44.28451939685584,-0.19060457774252 44.284066069195234,-0.188910598605753 44.28453865791673,-0.18942254509277 44.28525709814794,-0.188712957995771 44.28637584643079,-0.185520502047005 44.28716572369218,-0.182549054035588 44.28613026879808,-0.177585587089063 44.28861796843818,-0.176838157202316 44.29072236653402,-0.178652317111223 44.2916500329818,-0.17596539651956 44.29341143699821,-0.17641881274241 44.2954594980794,-0.174989771844528 44.29565394473785,-0.172868018983949 44.298553839098844,-0.171217022777836 44.29796639086445,-0.170882953614869 44.29596351312099,-0.168973088236362 44.29610599200834,-0.167932675061407 44.29735214887409,-0.166573748842604 44.2967372951689,-0.165655906681315 44.2948115866054,-0.163887160106291 44.29485261986328,-0.163642501914358 44.29597492211849,-0.163039309311979 44.29516800505255,-0.160765720724591 44.29576042728854,-0.160738653898448 44.29406039533881,-0.160093508429367 44.29429966001979,-0.158554851462535 44.29313495703539,-0.15796606653059 44.29380049333831,-0.156795368486628 44.29311615510209,-0.156563049904232 44.29423718147527,-0.154558256796492 44.2938452309038,-0.154351426889219 44.2929007724317,-0.153559445961654 44.29331897812111,-0.15301866769597 44.2927741693244,-0.152328554469163 44.29326511398952,-0.151247021086041 44.292806976333615,-0.151507833882905 44.29494892027054,-0.150123467458018 44.293736437436216,-0.149363736763312 44.29198174508453,-0.14875498625423 44.29253789790864,-0.147806319253908 44.29214528529586,-0.147578256657136 44.290364541350534,-0.145415834034591 44.28776087131144,-0.141470947291404 44.28955831091956,-0.138792564623704 44.28997447513554,-0.136935093294468 44.28945188555643,-0.135737146456717 44.28983290425114,-0.134184464981538 44.28872052938758,-0.132479195794576 44.28607115398582,-0.131924867976401 44.281984554164225,-0.128878628039147 44.28191010676339,-0.12721869194162 44.280870066577144,-0.125110212100042 44.280745396536936,-0.131754449161739 44.26157841463252,-0.127196853751421 44.24941929786984,-0.122296739062385 44.243591757923184,-0.124039382015578 44.23707525449856,-0.127072627617286 44.233183864693274,-0.140689879945711 44.22640741006511,-0.166180637940905 44.241310680004325,-0.174810293934144 44.2574486190447,-0.178346678664528 44.26103438018067,-0.188961515205736 44.267630783942806,-0.190953658218892 44.27019351136424,-0.193416443358375 44.27158132296841,-0.195166974247102 44.271252048580365,-0.197479762138867 44.26979922328258,-0.199994940491122 44.26609190665584,-0.202118176251246 44.26548410109696,-0.202961719890326 44.264193795998835,-0.210741954196044 44.26329006312587,-0.210098238958017 44.2650952906932,-0.218886720753178 44.265477671327076,-0.226004233163607 44.26478055905634)))"
commune_33332,"MULTIPOLYGON(((-0.026283386227966 45.034839963541316,-0.025975448287728 45.03647742464769,-0.028096882994267 45.037425301296494,-0.027031219740458 45.03861032775765,-0.026797228271855 45.04055754408193,-0.024947623483889 45.04003205158013,-0.023150157067419 45.040494460551045,-0.024763271444801 45.0423347275871,-0.024168328095854 45.0432726611281,-0.021603747644383 45.04306477709735,-0.020413649496379 45.04411525286082,-0.017810580109054 45.04437236237023,-0.017897597663475 45.046433393683635,-0.013700583261569 45.046809287517085,-0.009749153999386 45.048018152865446,-0.008697993340103 45.04938911463711,-0.007786064742011 45.04907135883285,-0.006690688938851 45.049431626789364,-0.005362212774521 45.04886019412179,-0.004853755933773 45.05195997745506,-0.005858488741508 45.05362591241209,-0.004923635502051 45.05487025286888,-0.003122835889863 45.055258527800774,-0.001244000490892 45.05499832627335,0.002912666241002 45.05623568075606,0.005238931754974 45.05640369043613,0.008597471686314 45.05502618069393,0.010626618950768 45.05506806083745,0.010744903269538 45.05352055779989,0.014627180274138 45.05304174795755,0.017489469400029 45.05128395704641,0.024770618919309 45.04927214394809,0.028508333922527 45.05289496951558,0.031182692706284 45.04992715434487,0.027176901589599 45.04297789023529,0.027598229258432 45.04097985865272,0.030772087260292 45.035701681054704,0.029719110786024 45.03128742151742,0.029071850890592 45.03127284970006,0.028846682125641 45.030464030413356,0.025951784040196 45.03051916474935,0.025669616255679 45.02939706155447,0.023426970733405 45.02894336069283,0.021258174796954 45.027460820456845,0.018121694363503 45.027426387012866,0.01648363389314 45.0265499407691,0.015389418930244 45.02746037102676,0.012364629113924 45.027642313706444,0.004049000619879 45.02390926697664,0.000653737580063 45.02403676269231,-0.001306967035534 45.02131775137623,-0.002213990436533 45.016673701810234,-0.003114253431517 45.01628719450089,-0.0060203156703 45.0161366430438,-0.011654887880556 45.01850988123901,-0.011851594413127 45.02107971501442,-0.013459370172136 45.023829401200366,-0.014752542877473 45.02427372868032,-0.017963223772979 45.02380376476223,-0.01972944504805 45.02286562634738,-0.024948886241825 45.017839332103925,-0.030670448730756 45.017975585240684,-0.031823625324105 45.020948250691085,-0.029914643852182 45.0239619737836,-0.030382817837927 45.02669560938142,-0.028858389443927 45.02646589339195,-0.027014369577609 45.02455539449039,-0.025694470388434 45.02455885007476,-0.023292675322399 45.02777236267236,-0.024806492963579 45.02818175114309,-0.023876408351822 45.03003974553468,-0.026572771029574 45.03253082710014,-0.026283386227966 45.034839963541316)))"
commune_33186,"MULTIPOLYGON(((0.113749820290357 44.79170850855818,0.110511015992716 44.789688948981826,0.107637382742523 44.78315891065853,0.103835221402446 44.78482001102896,0.10366965288365 44.783687732178514,0.10126961612804 44.78357092733498,0.098039654783781 44.78531797239934,0.097514668581629 44.78671416956294,0.095703576969075 44.785920759583334,0.091031635885992 44.78782801793988,0.084658948567095 44.78815067812583,0.086909143153555 44.786524207913914,0.087191649213404 44.78160986882384,0.086704663569988 44.77933934692586,0.08462288782362 44.777504367798294,0.083134507981331 44.778715686091275,0.078932350099763 44.77983746725397,0.075358331002897 44.782400946472315,0.073291700242357 44.781154454091656,0.069497058714218 44.78083344403295,0.069234232782403 44.77859578274372,0.066743504218748 44.7791794539334,0.066182330149066 44.779606957046596,0.066582126170327 44.78004188097291,0.065532721118464 44.78027446734059,0.065452536389569 44.78093813504394,0.0681184216218 44.78313400214476,0.068465325989958 44.784608099297124,0.06667200021712 44.784985889565526,0.066667892818331 44.78622817181136,0.064344918695446 44.78935778599394,0.0645367415206 44.79164404308578,0.06227204042692 44.794136404920614,0.0623349607918 44.79658773107217,0.061641029516013 44.79688827185829,0.062399656779835 44.79815798490355,0.062320767625006 44.800272207449446,0.061023330588861 44.80168293050593,0.061029021230434 44.80392102581483,0.068670417868213 44.8078198996481,0.069421297036185 44.809826327172374,0.071144340478232 44.81175842911765,0.075321204230567 44.811779489936235,0.08492129052473 44.80677804267227,0.092060829004529 44.804369949295555,0.094791345495339 44.80288472973643,0.103877966942687 44.803337800121845,0.106769475506803 44.80294571896436,0.10698373533312 44.80414233285045,0.108371476558668 44.80279922272283,0.106722733549224 44.80095345640593,0.107624858749188 44.79923461149559,0.106907940772873 44.798781658587544,0.108158769399874 44.797465614969084,0.107598544706202 44.79699242908879,0.107936183311957 44.79517687148171,0.109359928897091 44.79315360283999,0.110129644276257 44.79331691966081,0.11046029195249 44.79281651989686,0.111522567306762 44.79341719203926,0.113749820290357 44.79170850855818)))"
commune_33159,"MULTIPOLYGON(((-0.578576069545967 45.242237554217915,-0.558622455749932 45.234895473619616,-0.55993207456626 45.23386856921386,-0.560897409679842 45.23158624065384,-0.557546516772778 45.2295090908759,-0.554014313646161 45.22900594805127,-0.554372275906728 45.22465641622852,-0.552755351706557 45.22267986725667,-0.554192168802389 45.220489860855274,-0.558259956080865 45.21804205656055,-0.55690487491852 45.21785088751379,-0.552855340755735 45.21359933769228,-0.563093413193608 45.20981911404213,-0.586279446976498 45.202706796142856,-0.587124218121764 45.202004539015434,-0.598188319267999 45.20665003131791,-0.598390683823518 45.20771161565318,-0.601573972262318 45.209064647205246,-0.601878002087374 45.208717729355065,-0.60828807466468 45.211931382193235,-0.608362885103939 45.21332427403324,-0.609744538785525 45.21368792488419,-0.608235464296798 45.22056003408812,-0.617460238151298 45.22342804446516,-0.6126093505326 45.22761691682388,-0.608203027056506 45.22902760636615,-0.597747785104582 45.22812917982483,-0.594586139814568 45.23387441027456,-0.591102910432852 45.234023426653486,-0.58955839709152 45.23270121537356,-0.584410706615854 45.232357291918476,-0.583691975210163 45.23338086156265,-0.583963384780608 45.23413019079422,-0.581850330494507 45.23426107707509,-0.579859889357032 45.23858649397234,-0.580275082831566 45.240343443583136,-0.578576069545967 45.242237554217915)))"
