"building_id","building_point_wkt"
2,POINT(2.329500504895559 48.865048100471)
3,POINT(2.329620104895531 48.86520890047099)
4,POINT(2.329648304895503 48.864994800470996)
7,POINT(2.329763904895478 48.86514590047101)
8,POINT(2.329952004895432 48.865405300470975)
9,POINT(2.340201004891413 48.85924000047025)
11,POINT(2.334797804893644 48.863857200470704)
13,POINT(2.335485604893422 48.86402970047068)
14,POINT(2.341766504890962 48.86028700047024)
16,POINT(2.342160904890821 48.86022170047017)
22,POINT(2.342582704890726 48.860837200470186)
33,POINT(2.333303904894339 48.86606600047088)
37,POINT(2.334014504894002 48.86495580047077)
38,POINT(2.334393204893898 48.865267300470755)
39,POINT(2.334221404893991 48.86566640047081)
41,POINT(2.342319404890818 48.8608375004702)
45,POINT(2.338062781542036 48.866193693056196)
61,POINT(2.342111304891001 48.86219090047029)
62,POINT(2.341883604891118 48.8626742004703)
67,POINT(2.344908904889818 48.85946670047002)
68,POINT(2.344630004889795 48.85803110046997)
70,POINT(2.344933104889755 48.85880030047)
73,POINT(2.338690304892255 48.863190400470494)
74,POINT(2.342955104890417 48.85860030047011)
76,POINT(2.340903204891539 48.863707600470384)
77,POINT(2.341004804891506 48.863754600470365)
78,POINT(2.341219704891442 48.86386490047039)
80,POINT(2.339908604891828 48.86308890047039)
82,POINT(2.341992204891147 48.86349340047031)
83,POINT(2.341636704891306 48.86396400047038)
84,POINT(2.345450704889716 48.86048380047003)
86,POINT(2.345012504889822 48.859958700470024)
87,POINT(2.345126304889793 48.86007320047005)
90,POINT(2.344771904889813 48.85884390047001)
91,POINT(2.34523750488975 48.860009500470014)
92,POINT(2.345361004889724 48.86019910047005)
93,POINT(2.345553704889672 48.86038460047003)
94,POINT(2.325240604897129 48.866394600471246)
96,POINT(2.32634970489686 48.867725400471244)
97,POINT(2.326431604896839 48.86782350047127)
98,POINT(2.326623004896792 48.868053000471264)
99,POINT(2.326797804896749 48.868262300471265)
100,POINT(2.327111004896673 48.868637000471224)
102,POINT(2.325772304896982 48.866803400471255)
103,POINT(2.325912904896946 48.866971000471246)
104,POINT(2.32602210489692 48.86710120047125)
106,POINT(2.325289904897086 48.86605510047126)
107,POINT(2.326514104896777 48.86742480047123)
110,POINT(2.326467104896812 48.867643400471245)
111,POINT(2.32676690489674 48.868005600471264)
113,POINT(2.329268704895898 48.86821090047112)
117,POINT(2.32970550489574 48.86811350047112)
118,POINT(2.327483704896305 48.86571490047112)
119,POINT(2.327739604896205 48.8655654004711)
120,POINT(2.32806550489606 48.865160200471095)
121,POINT(2.32795160489615 48.865778700471104)
122,POINT(2.328430604896023 48.866249600471086)
125,POINT(2.346477404889123 48.85753390046988)
126,POINT(2.341307404891342 48.862997800470346)
128,POINT(2.34032840489172 48.86351680047041)
129,POINT(2.341759604891205 48.86321190047034)
130,POINT(2.34126300489138 48.863295000470345)
131,POINT(2.342147304891163 48.86432870047037)
132,POINT(2.342308804891113 48.864409500470344)
139,POINT(2.343724004890553 48.86349520047026)
140,POINT(2.34343490489066 48.863577500470264)
145,POINT(2.340733604891676 48.86466930047042)
161,POINT(2.340367404891775 48.864363500470446)
165,POINT(2.348726204888813 48.86317620046998)
167,POINT(2.349001404888735 48.86338370046997)
169,POINT(2.3334533048944 48.86745700047091)
171,POINT(2.332398404894785 48.86773700047093)
172,POINT(2.331836804894987 48.86786410047101)
174,POINT(2.331477904895119 48.86794790047102)
183,POINT(2.345545804889602 48.85949820047003)
184,POINT(2.345960904889476 48.859702500469965)
185,POINT(2.346131704889434 48.85989070046999)
186,POINT(2.346242838557485 48.86012391863096)
189,POINT(2.346075804889385 48.85908910046997)
190,POINT(2.345655704889541 48.85922510046998)
191,POINT(2.341429804891278 48.86274190047034)
194,POINT(2.32556490489716 48.868113800471306)
195,POINT(2.3254966048972 48.86831410047133)
197,POINT(2.325852204897036 48.867800600471305)
200,POINT(2.325728504897107 48.868142300471305)
203,POINT(2.325556004897206 48.868619200471336)
204,POINT(2.325618904897166 48.86840720047133)
205,POINT(2.333896504893933 48.86360350047073)
207,POINT(2.334451404893803 48.864361200470746)
210,POINT(2.345343004889535 48.85784000046993)
212,POINT(2.350404204888256 48.86342260046989)
213,POINT(2.349501904888586 48.86365500046993)
218,POINT(2.346806004889562 48.86428690047012)
221,POINT(2.34284770489099 48.86514390047037)
227,POINT(2.346859504889211 48.86022690046997)
230,POINT(2.347056304889412 48.86351130047009)
231,POINT(2.347421404889315 48.86383280047006)
232,POINT(2.347679804889246 48.86409200047007)
234,POINT(2.331093504895257 48.86803470047104)
235,POINT(2.332697004894649 48.867312100470926)
236,POINT(2.333094504894536 48.867603600470936)
240,POINT(2.349126204888638 48.86273790046995)
241,POINT(2.34865160488878 48.862480900469976)
246,POINT(2.348649904888826 48.863023900470004)
252,POINT(2.346070404889488 48.86030030047)
253,POINT(2.345959404889535 48.86041990047001)
255,POINT(2.347442704888923 48.859140300469896)
265,POINT(2.342115404891262 48.865420700470395)
267,POINT(2.341472504891435 48.86481710047039)
268,POINT(2.34262400489103 48.86471300047034)
269,POINT(2.34316440489019 48.85670150047003)
271,POINT(2.342055704890583 48.856866300470074)
274,POINT(2.347577204888979 48.860407900469944)
275,POINT(2.347019204889177 48.86047320046997)
279,POINT(2.340964104891443 48.862794700470346)
280,POINT(2.341210004891369 48.86293140047037)
288,POINT(2.340527104891566 48.86245670047033)
289,POINT(2.340735004891503 48.862563300470335)
291,POINT(2.343144604890766 48.86366000047029)
292,POINT(2.343323204890722 48.8638787004703)
295,POINT(2.343733904890598 48.86408350047026)
296,POINT(2.343876704890554 48.86415300047026)
297,POINT(2.344015604890513 48.86421420047025)
298,POINT(2.344206004890456 48.864317200470246)
302,POINT(2.345230604889653 48.85881960047001)
305,POINT(2.345786204889472 48.858920200469946)
307,POINT(2.344067104890433 48.86345660047021)
311,POINT(2.344395804890334 48.86363020047024)
313,POINT(2.344665404890255 48.86377150047023)
317,POINT(2.345097604890116 48.863903400470186)
321,POINT(2.348546304888616 48.860033200469886)
324,POINT(2.331977804894761 48.86568710047092)
325,POINT(2.332966204894534 48.8670594004709)
339,POINT(2.346588404889261 48.85971460046995)
341,POINT(2.346489304889234 48.85895450046992)
361,POINT(2.342976804890483 48.859522300470125)
362,POINT(2.340451304891487 48.8611937004703)
364,POINT(2.341154904891301 48.861879600470296)
365,POINT(2.341214504891293 48.862001800470296)
366,POINT(2.341280904891279 48.862122900470304)
367,POINT(2.341402604891257 48.86235850047036)
369,POINT(2.342047004891165 48.86393890047032)
372,POINT(2.341531888705886 48.862022287642965)
375,POINT(2.342609004890983 48.86407440047032)
377,POINT(2.326737904896873 48.86952800047133)
378,POINT(2.326460104896965 48.869480800471294)
382,POINT(2.331016404895166 48.86660500047098)
384,POINT(2.331502404895072 48.86748030047098)
385,POINT(2.332016104894925 48.86782670047102)
392,POINT(2.332361004894738 48.866996800470936)
393,POINT(2.332438104894722 48.86711810047094)
396,POINT(2.331042604895106 48.86598080047097)
399,POINT(2.33125900489506 48.86632240047096)
401,POINT(2.331060604895081 48.86573130047096)
402,POINT(2.331175204895055 48.865911300470955)
413,POINT(2.343644304890156 48.85829600047005)
416,POINT(2.335041504893639 48.864829700470715)
417,POINT(2.335546204893471 48.86486630047073)
418,POINT(2.335778204893402 48.86501540047071)
419,POINT(2.335841104893386 48.865049200470686)
421,POINT(2.336148104893302 48.865335600470665)
422,POINT(2.336260305223528 48.86540010029998)
423,POINT(2.336352204893243 48.86546990047071)
425,POINT(2.3363408048932 48.86491070047066)
427,POINT(2.336514904893164 48.86518520047066)
430,POINT(2.348134204889008 48.86307670047001)
435,POINT(2.338903204892117 48.86239840047044)
437,POINT(2.339178504892082 48.863111600470475)
441,POINT(2.345187904890129 48.864436000470214)
442,POINT(2.345131904890156 48.86452770047024)
443,POINT(2.345088404890177 48.86460790047025)
444,POINT(2.34600150488977 48.86345800047013)
447,POINT(2.34570360488991 48.86392820047018)
448,POINT(2.345672504889926 48.863992900470166)
449,POINT(2.345622404889949 48.86407620047017)
450,POINT(2.345544204889989 48.86422510047018)
451,POINT(2.345466504890028 48.86436510047018)
