"building_id","building_polygon_wkt"
2,"MULTIPOLYGON(((2.32912710489569 48.86510010047104,2.329298304895628 48.865044600471016,2.329471404895565 48.864988900471005,2.329584204895537 48.865140400471,2.329454604895585 48.86518480047101,2.3294142048956 48.865198300471015,2.329352004895622 48.86521910047101,2.329241004895666 48.86525660047102,2.329234304895666 48.86525000047103,2.329192004895677 48.86519630047103,2.32912710489569 48.86510010047104)))"
3,"MULTIPOLYGON(((2.329352004895622 48.86521910047101,2.3294142048956 48.865198300471015,2.329454604895585 48.86518480047101,2.329584204895537 48.865140400471,2.329696804895511 48.865291900471,2.3294627048956 48.86536830047101,2.329399204895613 48.865282200471036,2.329352004895622 48.86521910047101)))"
4,"MULTIPOLYGON(((2.329827104895425 48.86478360047097,2.329756204895441 48.86468290047097,2.329739104895446 48.864686700470976,2.329716604895452 48.864654800470966,2.329691204895459 48.86462220047098,2.32941510489556 48.864711500470996,2.329439704895554 48.86474410047099,2.329509604895538 48.864838100471,2.329634504895492 48.86480110047099,2.329674904895483 48.86485540047099,2.329681604895481 48.86486500047101,2.329701104895477 48.864891000471005,2.329579404895521 48.864932300471,2.329694204895497 48.86508690047102,2.329852104895437 48.86503650047098,2.329896304895421 48.865022000471,2.329975504895391 48.864996800471,2.329953204895396 48.86496460047099,2.329929204895402 48.86493080047098,2.329910604895406 48.86490200047098,2.329864604895417 48.86483850047097,2.329827104895425 48.86478360047097)))"
7,"MULTIPOLYGON(((2.330042204895377 48.86509160047096,2.330051904895375 48.86510790047097,2.330083004895366 48.865153600471004,2.329942304895419 48.86519930047099,2.329939904895421 48.865200000471,2.329911704895431 48.865209200471,2.329810404895468 48.865243000471004,2.329694204895497 48.86508690047102,2.329852104895437 48.86503650047098,2.329896304895421 48.865022000471,2.329975504895391 48.864996800471,2.329989204895388 48.865013800471,2.330042204895377 48.86509160047096)))"
8,"MULTIPOLYGON(((2.330153904895351 48.865257800470985,2.330170504895348 48.86528250047099,2.330248904895331 48.865404800470984,2.329993904895425 48.86548960047099,2.329911104895446 48.865378100471,2.32988670489545 48.86534540047101,2.330014504895403 48.86530530047099,2.330017804895401 48.86530410047097,2.330043004895394 48.86529470047098,2.330082304895378 48.86528180047099,2.330091904895376 48.86527870047099,2.33010660489537 48.865274300471,2.330153904895351 48.865257800470985)))"
9,"MULTIPOLYGON(((2.340634004891258 48.859164200470246,2.340716104891244 48.85932280047023,2.3402800048914 48.85942130047026,2.340166904891422 48.85920150047028,2.340105504891432 48.85908230047028,2.340548804891275 48.859000000470225,2.340596304891267 48.85909240047024,2.340634004891258 48.859164200470246)))"
11,"MULTIPOLYGON(((2.334470804893761 48.86391920047072,2.33471710489367 48.863839400470695,2.334763204893653 48.86381470047069,2.334861104893624 48.86389440047068,2.334803404893648 48.863927500470716,2.334723504893677 48.863952400470716,2.334540004893744 48.8640124004707,2.334470804893761 48.86391920047072)))"
13,"MULTIPOLYGON(((2.335312004893491 48.86415150047066,2.335356004893468 48.8640499004707,2.335653804893361 48.86398140047068,2.335737104893345 48.864136900470655,2.335640704893386 48.86421300047067,2.335612004893393 48.864208100470684,2.335491004893433 48.86418560047066,2.335312004893491 48.86415150047066)))"
14,"MULTIPOLYGON(((2.341582504891009 48.86010070047023,2.341624004890995 48.86009740047024,2.341801504890933 48.86008630047021,2.341945704890882 48.860076000470194,2.341933204890878 48.85996980047022,2.342068104890831 48.859961500470185,2.342161604890818 48.8601832004702,2.342169204890818 48.8602016004702,2.34201460489087 48.860205400470214,2.342010704890872 48.86020540047021,2.342015104890874 48.86025780047019,2.341981604890885 48.86025940047019,2.341988004890891 48.86033850047022,2.341984504890893 48.860346000470216,2.341798704890953 48.86030730047022,2.341797504890953 48.86030940047023,2.341652204891 48.86027900047025,2.341653204891002 48.860276800470224,2.341514304891045 48.86024780047022,2.34156260489102 48.86014250047022,2.341585704891013 48.86014650047024,2.341582504891009 48.86010070047023)))"
16,"MULTIPOLYGON(((2.342186904890815 48.86025090047022,2.342176104890815 48.8602015004702,2.342169204890818 48.8602016004702,2.34201460489087 48.860205400470214,2.342010704890872 48.86020540047021,2.342015104890874 48.86025780047019,2.341981604890885 48.86025940047019,2.341988004890891 48.86033850047022,2.341991404890888 48.86033870047022,2.34213800489084 48.86035150047021,2.342208204890811 48.8602976004702,2.342202504890812 48.86028030047022,2.342193104890813 48.860252900470186,2.342187504890815 48.8602531004702,2.342186904890815 48.86025090047022)))"
22,"MULTIPOLYGON(((2.343060004890562 48.860829200470164,2.343146904890532 48.860821000470175,2.343156104890533 48.86086230047018,2.343171804890533 48.86093620047017,2.342854504890639 48.8608975004702,2.342574704890733 48.86086330047018,2.342561804890732 48.8608052004702,2.342685304890691 48.860824300470206,2.342787804890657 48.86083430047018,2.342979404890593 48.86085290047018,2.343065404890564 48.860861300470155,2.343060004890562 48.860829200470164)))"
